LawID,SubLawID,CategoryNumber,MainCategory,SecondaryCategory,SubCategories,Datum,Date1,Date,Year,Month,Day,Archive
BER.01.001.4201,BER.01.001.4201.05386.0,1.3,Randgruppen,Fahrende Leute,Grenzkontrolle; Landesverweisung,1764.03.31,,1764-03-31,1764,3,31,"StAB, A I 501, S. 293 f."
BER.01.001.4220,BER.01.001.4220.05406.0,1.3,Randgruppen,Fahrende Leute,"Pässe; Paßkontrolle; Landesverweisung; Streifen,,,Erläuterung S. 378f.: 01.10.1764, Verordnung an Grandson u. St. Johannsen gleicher Betreff u. gleiches Datum, S. 380f.,,,",1764.09.20,,1764-09-20,1764,9,20,"StAB, A I 501, S. 372"
BER.01.001.4244,BER.01.001.4244.05433.0,1.3,Randgruppen,Fahrende Leute,Festnahme; Grenzkontrolle; Pässe; Paßkontrolle; Landesverweisung; Überprüfung Fremder; Durchzug,1765.12.03,,1765-12-03,1765,12,3,"StAB, A I 501, S. 553"
BER.01.001.4248,BER.01.001.4248.05440.0,1.3,Randgruppen,Fahrende Leute,Streifen,1766.05.20,,1766-05-20,1766,5,20,"StAB, A I 501, S. 683"
BER.01.001.4350,BER.01.001.4350.05562.0,1.3,Randgruppen,Fahrende Leute,"Landesverweisung; Einreiseverbot; Festnahme,,,Verschiedene Verordnungen an einzelne Ämter.,,,)",1768.12.21,,1768-12-21,1768,12,21,"StAB, A I 503, S. 48"
BER.01.001.4352,BER.01.001.4352.05564.0,1.3,Randgruppen,Fahrende Leute,"Grenzkontrolle; Landesverweisung; Festnahme; Einreiseverbot; Streifen,,,Verschiedene Verordnungen an einzelne Ämter.,,,)",1768.12.21,,1768-12-21,1768,12,21,"StAB, A I 503, S. 52-59"
BER.01.001.4374,BER.01.001.4374.05587.0,1.3,Randgruppen,Fahrende Leute,Streifen; Grenzkontrolle; Einreiseverbot,1770.04.28,,1770-04-28,1770,4,28,"StAB, A I 503, S. 357 f."
BER.01.001.4375,BER.01.001.4375.05588.0,1.3,Randgruppen,Fahrende Leute,Grenzkontrolle; Gesellen; Einreiseverbot; Durchzug; Pässe; Paßkontrolle; Nachbarabrede; Begünstigung; Nachbarorte; Ausland,1770.04.28,,1770-04-28,1770,4,28,"StAB, A I 503, S. 358-363"
BER.01.001.4301,BER.01.001.4301.05507.0,1.3,Randgruppen,Fahrende Leute,Einreiseverbot; Festnahme; Grenzkontrolle; Landesverweisung,1771.03.07,,1771-03-07,1771,3,7,"StAB, A I 504, S. 115 f."
BER.01.001.4408,BER.01.001.4408.05645.0,1.3,Randgruppen,Juden,Arbeitsbedingungen,1773.08.21,,1773-08-21,1773,8,21,"StAB, A I 505, S. 508-514"
BER.01.001.4413,BER.01.001.4413.05646.0,1.3,Randgruppen,Fahrende Leute,Einreiseverbot; Grenzkontrolle; Pässe; Paßkontrolle; Streifen; Überprüfung Fremder; Durchzug,1773.10.18,,1773-10-18,1773,10,18,"StAB, A I 505, S. 573-575"
BER.01.001.4432,BER.01.001.4432.05668.0,1.3,Randgruppen,Fahrende Leute,Grenzkontrolle; Streifen; Überprüfung Fremder; Pässe; Paßkontrolle; Landesverweisung; Durchzug; Festnahme; Einreiseverbot; Gesellen,1774.10.11,,1774-10-11,1774,10,11,"StAB, A I 506, S. 302-309"
BER.01.001.4456,BER.01.001.4456.05697.0,1.3,Randgruppen,Fahrende Leute,Hausierer; Juden,1777.12.09,,1777-12-09,1777,12,9,"StAB, A I 507, S. 51-56"
BER.01.001.4456,BER.01.001.4456.05696.0,1.3,Randgruppen,Juden,Aufenthalt; Bedingungen; Einschränkung,1777.12.09,,1777-12-09,1777,12,9,"StAB, A I 507, S. 51-56"
BER.01.001.4471,BER.01.001.4471.05716.0,1.3,Randgruppen,Fahrende Leute,Aufsicht; Streifen,1779.02.13,,1779-02-13,1779,2,13,"StAB, A I 507, S. 191 f."
BER.01.001.4501,BER.01.001.4501.05753.0,1.3,Randgruppen,Juden,Aufenthalt; Verbot; Bedingungen; Einschränkung,1781.05.03,,1781-05-03,1781,5,3,"StAB, A I 507, S. 545-553"
BER.01.001.4500,BER.01.001.4500.05751.0,1.3,Randgruppen,Fahrende Leute,Aufsicht,1781.05.23,,1781-05-23,1781,5,23,"StAB, A I 507, S. 540-543"
BER.01.001.4506,BER.01.001.4506.05760.0,1.3,Randgruppen,Fahrende Leute,Aufenthalt; Verbot; Landesverweisung,1782.02.19,,1782-02-19,1782,2,19,"StAB, A I 507, S. 599 f."
BER.01.001.4570,BER.01.001.4570.05835.0,1.3,Randgruppen,Juden,Arbeitsbedingungen,1785.05.21,,1785-05-21,1785,5,21,"StAB, A I 508, S. 311-317"
BER.01.001.4577,BER.01.001.4577.05846.0,1.3,Randgruppen,Fahrende Leute,Streifen; Pässe; Paßkontrolle; Landesverweisung; Grenzkontrolle; Einreiseverbot; Beherbergung Fremder; Beherbergungsverbot; Aufsicht,1785.10.06,,1785-10-06,1785,10,6,"StAB, A I 508, S. 376-378"
BER.01.001.4578,BER.01.001.4578.05848.0,1.3,Randgruppen,Fahrende Leute,Aufenthalt; Verbot; Bedingungen; Einschränkung; Landesverweisung; Paßkontrolle; Pässe; Gesellen,1785.10.06,,1785-10-06,1785,10,6,"StAB, A I 508, S. 378 f."
BER.01.001.4614,BER.01.001.4614.05907.0,1.3,Randgruppen,Fahrende Leute,"Pässe; Paßkontrolle; Grenzkontrolle; Gesellen; Landesverweisung; Legitimation; Differenzierung; Fremde; Einheimische,,,Anordnung für Einhaltung StAB A I 509, S. 619f.: 09.05.1789.,,,)",1787.08.06,,1787-08-06,1787,8,6,"StAB, A I 509, S. 288-290"
BER.01.001.4632,BER.01.001.4632.05927.0,1.3,Randgruppen,Juden,Aufenthalt; Verbot; Bedingungen; Einschränkung,1788.08.15,,1788-08-15,1788,8,15,"StAB, A I 509, S. 422-424"
BER.01.001.4682,BER.01.001.4682.05989.0,1.3,Randgruppen,Fahrende Leute,Landesverweisung; Nachbarabrede; Begünstigung; Nachbarorte; Ausland,1791.05.04,,1791-05-04,1791,5,4,"StAB, A I 510, S. 467 f."
BER.01.001.4705,BER.01.001.4705.06023.0,1.3,Randgruppen,Fahrende Leute,Deserteure,1793.01.07,,1793-01-07,1793,1,7,"StAB, A I 511, S. 194 f."
BER.01.001.4732,BER.01.001.4732.06054.0,1.3,Randgruppen,Fahrende Leute,Aufenthalt; Verbot; Bedingungen; Einschränkung; Bettelverbot; Differenzierung; Fremde; Einheimische; Einreiseverbot; Festnahme; Grenzkontrolle; Landesverweisung; Legitimation; Streifen; Überprüfung Fremder,1793.09.23,,1793-09-23,1793,9,23,"StAB, A I 511, S. 391-419"
BER.01.001.4733,BER.01.001.4733.06055.0,1.3,Randgruppen,Fahrende Leute,Überprüfung Fremder; Paßkontrolle; Landesverweisung; Grenzkontrolle; Festnahme; Einreiseverbot; Differenzierung; Fremde; Einheimische; Bettelverbot; Beherbergung Fremder; Beherbergungsverbot; Aufsicht; Aufenthalt; Verbot; Bedingungen; Einschränkung,1793.09.30,,1793-09-30,1793,9,30,"StAB, A I 511, S. 420-426"
BER.01.001.4767,BER.01.001.4767.06095.0,1.3,Randgruppen,Fahrende Leute,Überprüfung Fremder; Pässe; Paßkontrolle; Einreiseverbot; Landesverweisung; Legitimation,1794.08.18,,1794-08-18,1794,8,18,"StAB, A I 512, S. 487 f."
BER.01.001.4822,BER.01.001.4822.06161.0,1.3,Randgruppen,Fahrende Leute,Pässe; Paßkontrolle; Einreiseverbot; Grenzkontrolle,1795.06.25,,1795-06-25,1795,6,25,"StAB, A I 513, S. 147 f."
BER.01.001.4803,BER.01.001.4803.06140.0,1.3,Randgruppen,Fahrende Leute,"Pässe; Paßkontrolle; Durchzug; Streifen; Beherbergung Fremder; Beherbergungsverbot; Grenzkontrolle; Überprüfung Fremder,,,Abänderung S. 438-440: 10.10.1796.,,,)",1796.02.17,,1796-02-17,1796,2,17,"StAB, A I 513, S. 272-277"
BER.01.001.4805,BER.01.001.4805.06142.0,1.3,Randgruppen,Fahrende Leute,Beherbergung Fremder; Beherbergungsverbot; Durchzug; Pässe; Paßkontrolle; Streifen; Überprüfung Fremder,1796.03.10,,1796-03-10,1796,3,10,"StAB, A I 513, S. 279-283"
BER.01.001.4823,BER.01.001.4823.06164.0,1.3,Randgruppen,Fahrende Leute,Pässe; Paßkontrolle,1796.12.26,,1796-12-26,1796,12,26,"StAB, A I 513, S. 456-458"
BER.01.001.4821,BER.01.001.4821.06160.0,1.3,Randgruppen,Fahrende Leute,Pässe; Paßkontrolle; Landesverweisung; Grenzkontrolle; Überprüfung Fremder,1797.02.21,,1797-02-21,1797,2,21,"StAB, A I 513, S. 476-479"
